Time(ms),Pressure(hPa)
1678151015015000,344.956520843539
1678151075084000,345.1110159620621
1678151135153000,345.0957334025407
1678151195215000,345.21914970254124
1678151255283000,345.3267697435407
1678151315352000,345.4378572560282
1678151375421000,345.5384139291817
1678151435435000,345.6182941982767
1678151495504000,345.73169335842294
1678151555572000,345.9864883003596
1678151615641000,346.1077213775714
1678151675710000,346.27968227840466
1678151735779000,346.5276707022352
1678151795847000,346.67112128194447
1678151855916000,346.89920385093615
1678151915935000,347.0572948658172
1678151976004000,347.1592642125399
1678152036072000,347.38927315458045
1678152096141000,347.4920130505227
1678152156210000,347.63584890484174
1678152216279000,347.8708664168096
1678152276347000,348.04745061296023
1678152336416000,348.2100364982888
1678152396485000,348.3690264872593
1678152456554000,348.53199764719767
1678152516622000,348.7173147345034
1678152576691000,348.83186971847897
1678152636760000,349.00074842243396
1678152696829000,349.13546611098815
1678152756897000,349.33889110495375
1678152816966000,349.46307795417385
1678152877035000,349.5852100054752
1678152937104000,349.7978815900755
1678152997172000,349.9301592061011
1678153057241000,350.07656355781876
1678153117310000,350.23799361931793
1678153177379000,350.3477968831062
1678153237447000,350.4550316494959
1678153297516000,350.6352117420045
1678153357585000,350.88268646635527
1678153417654000,350.9909486317044
1678153477723000,351.201436993516
1678153537791000,351.4291342878979
1678153597860000,351.5917201732264
1678153657929000,351.8294346074627
1678153717998000,351.9460443893571
1678153778066000,352.1739985334789
1678153838135000,352.3536649265078
1678153898204000,352.5457885319197
1678153958273000,352.7040079716707
1678154018341000,352.9362001365001
1678154078410000,353.0695051514851
1678154138479000,353.3574337098632
1678154198548000,353.6896688483663
1678154258616000,353.75246860976097
1678154318685000,353.9384278214164
1678154378754000,354.2546098511785
1678154438823000,354.47922494868214
1678154498891000,354.7026842223564
1678154558960000,355.13393493557385
1678154619029000,355.2635156293309
1678154679098000,355.53282258156946
1678154739166000,355.8472066631526
1678154799235000,356.043825139012
1678154859304000,356.26522961476746
1678154919373000,356.6212233542072
1678154979441000,356.8564977159148
1678155039510000,357.06801347668585
1678155099579000,357.43505175493937
1678155159648000,357.8105660746081
1678155219716000,358.0925870889695
1678155279785000,358.49918022716076
